Animal ID,Name,DateTime,MonthYear,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color
A820012,Sadie Mae,01/01/2021 02:28:00 PM,01/01/2021 02:28:00 PM,780 Bastrop Highway in Austin (TX),Public Assist,Normal,Dog,Intact Female,1 year,Labrador Retriever,Black/White
A820013,Sadie,01/01/2021 02:28:00 PM,01/01/2021 02:28:00 PM,780 Bastrop Highway in Austin (TX),Public Assist,Normal,Dog,Neutered Male,1 year,Labrador Retriever/Pit Bull,Black
A827856,,01/01/2021 07:24:00 PM,01/01/2021 07:24:00 PM,Ruby Ray And Sienna Rouge Path in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Great Pyrenees,Brown/White
A827857,Ty,01/01/2021 10:21:00 PM,01/01/2021 10:21:00 PM,18010 Blake Manor Road in Travis (TX),Stray,Injured,Dog,Intact Male,6 months,Labrador Retriever,Black/White
A827859,Peluchin,01/02/2021 08:42:00 AM,01/02/2021 08:42:00 AM,Austin (TX),Owner Surrender,Sick,Dog,Intact Male,1 month,Pomeranian Mix,Red/White
A827860,Bruce,01/02/2021 08:53:00 AM,01/02/2021 08:53:00 AM,Dessau Road And Arborside Drive in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Siberian Husky Mix,Cream/Black
A827861,Ozzie,01/02/2021 09:02:00 AM,01/02/2021 09:02:00 AM,3800 Shoal Creek Boulevard in Austin (TX),Stray,Normal,Dog,Neutered Male,20 years,Tibetan Terrier,Black
A827866,*Gromit,01/02/2021 01:00:00 PM,01/02/2021 01:00:00 PM,1156 West Cesar Chavez Street in Austin (TX),Stray,Injured,Dog,Intact Male,2 years,Great Dane Mix,Brown/White
A827672,Winne,01/02/2021 01:17:00 PM,01/02/2021 01:17:00 PM,2900 Manor Road in Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,3 years,Labrador Retriever Mix,Brown
A827870,,01/02/2021 01:24:00 PM,01/02/2021 01:24:00 PM,Anderson Mill Road in Austin (TX),Stray,Sick,Dog,Intact Male,8 months,Chihuahua Shorthair,White/Tricolor
A827862,,01/02/2021 01:35:00 PM,01/02/2021 01:35:00 PM,1804 Sylvan Drive in Austin (TX),Wildlife,Normal,Other,Unknown,1 year,Raccoon,Black/Gray
A827875,,01/02/2021 02:45:00 PM,01/02/2021 02:45:00 PM,1123 Elm Creek Drive in Austin (TX),Stray,Sick,Dog,Intact Male,1 year,Labrador Retriever,Tan
A827885,*Sadie,01/02/2021 03:22:00 PM,01/02/2021 03:22:00 PM,7620 Tx 130 in Austin (TX),Stray,Normal,Dog,Intact Female,3 years,Labrador Retriever Mix,Buff/Tan
A827877,*Silas,01/02/2021 04:17:00 PM,01/02/2021 04:17:00 PM,13000 North Interstate 35 in Austin (TX),Stray,Normal,Dog,Intact Male,8 years,Chihuahua Shorthair Mix,Black/White
A827880,*Pax,01/02/2021 04:51:00 PM,01/02/2021 04:51:00 PM,4713 Little Hill Circle in Austin (TX),Stray,Injured,Dog,Intact Male,2 years,Black Mouth Cur Mix,Brown
A827887,,01/02/2021 08:11:00 PM,01/02/2021 08:11:00 PM,10608 Turner Drive in Austin (TX),Stray,Feral,Cat,Intact Male,2 years,Siamese,Brown/Seal Point
A827888,,01/03/2021 01:00:00 AM,01/03/2021 01:00:00 AM,4404 East Oltorf in Austin (TX),Stray,Sick,Dog,Intact Male,7 months,Pit Bull,Brown/White
A827892,Nemo,01/03/2021 08:16:00 AM,01/03/2021 08:16:00 AM,4434 Frontier Trail in Austin (TX),Owner Surrender,Injured,Cat,Intact Male,1 year,Domestic Shorthair,Orange Tabby
A784105,Frankie,01/03/2021 08:28:00 AM,01/03/2021 08:28:00 AM,Loyola And 183 in Austin (TX),Stray,Injured,Dog,Neutered Male,2 years,Harrier,Liver Tick
A827897,*Andromeda,01/03/2021 08:44:00 AM,01/03/2021 08:44:00 AM,1215 West Slaughter Lane in Austin (TX),Stray,Normal,Dog,Intact Female,1 month,Rottweiler,Black/Tan
A827898,*Charlie,01/03/2021 09:04:00 AM,01/03/2021 09:04:00 AM,1511 Faro Drive in Austin (TX),Stray,Normal,Dog,Intact Female,4 months,Border Collie/Australian Cattle Dog,White/Black
A773909,Rocky,01/03/2021 11:20:00 AM,01/03/2021 11:20:00 AM,8207 Sam Rayburn Drive in Austin (TX),Stray,Normal,Dog,Intact Male,3 years,Staffordshire Mix,Fawn/Tricolor
A827906,*Mr Spock,01/03/2021 12:18:00 PM,01/03/2021 12:18:00 PM,1032 East 46Th Street in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Blue Lacy Mix,Brown
A827910,*Barkley,01/03/2021 03:02:00 PM,01/03/2021 03:02:00 PM,2404 North Shields in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Chihuahua Shorthair,Brown
A827909,,01/03/2021 03:22:00 PM,01/03/2021 03:22:00 PM,700 Congress Avenue in Austin (TX),Wildlife,Injured,Other,Unknown,1 year,Bat,Brown
A827914,Coco Bean,01/03/2021 04:19:00 PM,01/03/2021 04:19:00 PM,2508 West Riverside in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Boxer,Brown/White
A827917,,01/03/2021 05:03:00 PM,01/03/2021 05:03:00 PM,1128 Spur in Austin (TX),Stray,Sick,Cat,Unknown,2 years,Domestic Shorthair,Black
A823661,Apollo Buddy,01/03/2021 09:22:00 PM,01/03/2021 09:22:00 PM,15207 Tacon Lane in Pflugerville (TX),Stray,Normal,Dog,Intact Male,1 year,Dachshund/Chihuahua Shorthair,Brown
A827933,Lady Bird,01/04/2021 10:11:00 AM,01/04/2021 10:11:00 AM,906 Possum Trot Street in Austin (TX),Public Assist,Normal,Dog,Spayed Female,8 years,Jack Russell Terrier/Rat Terrier,Black/White
A827867,,01/04/2021 11:53:00 AM,01/04/2021 11:53:00 AM,4601 Depew Avenue in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Chihuahua Shorthair/Dachshund,Black/Brown Brindle
A827936,,01/04/2021 01:36:00 PM,01/04/2021 01:36:00 PM,Leisure Drive in Austin (TX),Stray,Normal,Dog,Intact Male,10 months,Miniature Schnauzer Mix,Black
A827953,*Bunny,01/04/2021 02:55:00 PM,01/04/2021 02:55:00 PM,Mckinney Falls And Colton Bluff in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,White/Black
A827955,*Cheerio,01/04/2021 03:54:00 PM,01/04/2021 03:54:00 PM,14301 North Ih 35 in Travis (TX),Stray,Normal,Other,Intact Male,2 years,Rabbit Sh,Tan
A827954,,01/04/2021 03:56:00 PM,01/04/2021 03:56:00 PM,6014 Jacqueline Lane in Travis (TX),Stray,Normal,Dog,Intact Female,2 years,Labrador Retriever/German Shepherd,Brown
A827956,*Bluebell,01/04/2021 04:02:00 PM,01/04/2021 04:02:00 PM,11881 Jollyville Road in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Pit Bull,Blue/White
A827967,,01/04/2021 04:33:00 PM,01/04/2021 04:33:00 PM,10307 Georgian Drive in Austin (TX),Stray,Aged,Cat,Spayed Female,10 years,Domestic Longhair,Brown Tabby/White
A827968,,01/04/2021 04:46:00 PM,01/04/2021 04:46:00 PM,700 Lavaca in Austin (TX),Wildlife,Normal,Other,Unknown,2 years,Bat,Brown
A827972,*Owen,01/04/2021 04:59:00 PM,01/04/2021 04:59:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,2 months,Pointer Mix,White/Blue Tick
A827973,,01/04/2021 04:59:00 PM,01/04/2021 04:59:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,4 months,Basset Hound Mix,White/Black
A827969,,01/04/2021 05:00:00 PM,01/04/2021 05:00:00 PM,715 East 8Th Street in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Pointer/Australian Cattle Dog,White/Brown Brindle
A827976,,01/05/2021 07:48:00 AM,01/05/2021 07:48:00 AM,8201 Riverstone Drive in Austin (TX),Stray,Sick,Dog,Intact Female,2 months,Chihuahua Shorthair,White/Brown
A827986,Toro,01/05/2021 08:03:00 AM,01/05/2021 08:03:00 AM,5920 Diamondleaf Bend in Austin (TX),Owner Surrender,Sick,Dog,Intact Male,1 year,Chihuahua Shorthair,Black
A827987,Jazz,01/05/2021 08:19:00 AM,01/05/2021 08:19:00 AM,4434 Frontier Trail in Austin (TX),Owner Surrender,Injured,Dog,Intact Female,1 year,Labrador Retriever/Australian Kelpie,Black
A827989,Max,01/05/2021 09:54:00 AM,01/05/2021 09:54:00 AM,212 West Murray Avenue in Manor (TX),Stray,Normal,Dog,Intact Male,7 years,Shih Tzu/French Bulldog,White/Black
A827991,*Seymour,01/05/2021 09:58:00 AM,01/05/2021 09:58:00 AM,12118 Walnut Park Crossing in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Scottish Terrier/Dachshund,Tan
A827998,*Louise,01/05/2021 11:07:00 AM,01/05/2021 11:07:00 AM,Quicksilver And Bluff Springs in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby
A827997,*Tina,01/05/2021 11:07:00 AM,01/05/2021 11:07:00 AM,Quicksilver And Bluff Springs in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Tortie
A828016,,01/05/2021 12:17:00 PM,01/05/2021 12:17:00 PM,Ponca Street in Austin (TX),Stray,Normal,Dog,Intact Male,1 month,Labrador Retriever,Black/White
A828014,,01/05/2021 12:17:00 PM,01/05/2021 12:17:00 PM,Ponca Street in Austin (TX),Stray,Normal,Dog,Intact Female,1 month,Labrador Retriever,White/Black
A828015,,01/05/2021 12:17:00 PM,01/05/2021 12:17:00 PM,Ponca Street in Austin (TX),Stray,Normal,Dog,Intact Female,1 month,Labrador Retriever,White/Black
A822336,*Mali,01/05/2021 12:49:00 PM,01/05/2021 12:49:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,5 months,British Shorthair Mix,Brown Tabby/White
A828018,,01/05/2021 01:35:00 PM,01/05/2021 01:35:00 PM,412 Hackberry Lane in Austin (TX),Stray,Sick,Dog,Unknown,2 years,German Shepherd Mix,Tan
A827990,*Sky,01/05/2021 02:28:00 PM,01/05/2021 02:28:00 PM,7203 Bennet Avenue in Austin (TX),Stray,Normal,Dog,Intact Female,5 months,German Shorthair Pointer/American Pit Bull Terrier,Liver/Blue
A827992,Luna,01/05/2021 02:29:00 PM,01/05/2021 02:29:00 PM,7203 Bennet Avenue in Austin (TX),Stray,Normal,Dog,Intact Female,1 month,Catahoula Mix,White/Tan
A828017,Noodle,01/05/2021 02:30:00 PM,01/05/2021 02:30:00 PM,East Riverside Drive At Wickersham Lane in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Chihuahua Shorthair/Dachshund,Fawn/White
A828023,,01/05/2021 02:52:00 PM,01/05/2021 02:52:00 PM,5017 West Highway 290 in Austin (TX),Stray,Normal,Bird,Unknown,1 year,Chicken,Brown
A828022,,01/05/2021 02:52:00 PM,01/05/2021 02:52:00 PM,5017 West Highway 290 in Austin (TX),Stray,Normal,Bird,Unknown,1 year,Chicken,Brown
A827249,*Tofu,01/05/2021 03:10:00 PM,01/05/2021 03:10:00 PM,8652 Nuckols Crossing Road in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Boxer,Brown/White
A828026,*Simon,01/05/2021 03:36:00 PM,01/05/2021 03:36:00 PM,Tom Miller Street At Antone Street in Austin (TX),Stray,Normal,Cat,Intact Male,1 year,Domestic Shorthair,Brown Tabby
A828020,*Clark Kent,01/05/2021 03:47:00 PM,01/05/2021 03:47:00 PM,1006 East 49Th Street in Austin (TX),Stray,Injured,Cat,Intact Male,2 years,Domestic Shorthair,Black
A828021,Hax,01/05/2021 04:23:00 PM,01/05/2021 04:23:00 PM,12117 Manchaca Road in Austin (TX),Stray,Injured,Dog,Intact Female,11 years,Siberian Husky,Black/White
A828027,Sunshine,01/05/2021 04:24:00 PM,01/05/2021 04:24:00 PM,2504 Sanders Street in Austin (TX),Stray,Normal,Dog,Intact Female,1 month,Chinese Sharpei/German Shepherd,Brown/Black
A828030,Socks,01/05/2021 05:09:00 PM,01/05/2021 05:09:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,1 year,Domestic Shorthair,Black/White
A828035,,01/05/2021 06:35:00 PM,01/05/2021 06:35:00 PM,Outside Jurisdiction,Stray,Normal,Dog,Intact Female,5 months,Labrador Retriever/Collie Smooth,Brown/White
A828034,Xanthippe,01/05/2021 06:35:00 PM,01/05/2021 06:35:00 PM,Outside Jurisdiction,Stray,Normal,Dog,Intact Female,2 years,Labrador Retriever Mix,Black/White
A828036,,01/05/2021 08:43:00 PM,01/05/2021 08:43:00 PM,109 Denson in Austin (TX),Stray,Normal,Other,Intact Male,2 months,Hamster,White
A828041,,01/05/2021 08:43:00 PM,01/05/2021 08:43:00 PM,109 Denson in Austin (TX),Stray,Normal,Other,Intact Female,2 months,Hamster,White
A828038,,01/05/2021 08:43:00 PM,01/05/2021 08:43:00 PM,109 Denson in Austin (TX),Stray,Normal,Other,Intact Female,2 months,Hamster,White
A828043,,01/05/2021 08:43:00 PM,01/05/2021 08:43:00 PM,109 Denson in Austin (TX),Stray,Normal,Other,Intact Male,2 months,Hamster,White
A828042,,01/05/2021 08:43:00 PM,01/05/2021 08:43:00 PM,109 Denson in Austin (TX),Stray,Normal,Other,Intact Female,1 year,Hamster,White
A828044,,01/05/2021 08:43:00 PM,01/05/2021 08:43:00 PM,109 Denson in Austin (TX),Stray,Normal,Other,Intact Male,2 months,Hamster,Tan
A828040,,01/05/2021 08:43:00 PM,01/05/2021 08:43:00 PM,109 Denson in Austin (TX),Stray,Normal,Other,Intact Female,2 months,Hamster,Tan
A828037,,01/05/2021 08:43:00 PM,01/05/2021 08:43:00 PM,109 Denson in Austin (TX),Stray,Normal,Other,Intact Male,1 year,Hamster,White
A828039,*Hamtaro,01/05/2021 08:43:00 PM,01/05/2021 08:43:00 PM,109 Denson in Austin (TX),Stray,Normal,Other,Intact Male,2 months,Hamster,Tan
A828045,Kash,01/05/2021 11:01:00 PM,01/05/2021 11:01:00 PM,11011 Jordan in Austin (TX),Stray,Injured,Dog,Intact Male,2 years,Pit Bull,Brown/White
A828047,Muddy,01/06/2021 08:53:00 AM,01/06/2021 08:53:00 AM,2901 Montopolis Drive in Austin (TX),Stray,Normal,Cat,Intact Female,2 years,Domestic Shorthair,Black/White
A828048,*Dolly,01/06/2021 09:36:00 AM,01/06/2021 09:36:00 AM,744 W William Cannon in Austin (TX),Stray,Sick,Dog,Spayed Female,6 years,Labrador Retriever/Black/Tan Hound,Black
