tconst,ordering,nconst,category,job,characters,title,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
tt0088510,1,nm0000355,actor,\N,C-3PO,Star Wars: Animated Adventures - The Great Heep,Anthony Daniels,1946,\N,"actor,producer,writer","tt2488496,tt0076759,tt0080684,tt2527336"
tt0088510,2,nm0132491,actor,\N,"Admiral Screed,Lord Toda",Star Wars: Animated Adventures - The Great Heep,Graeme Campbell,1940,1992,actor,"tt0088510,tt0066630,tt0067411,tt0096425"
tt0088510,3,nm0377243,actor,\N,"Jord Dusat,Jyn Obah,Uncle Gundy",Star Wars: Animated Adventures - The Great Heep,Dan Hennessey,1941,\N,"actor,miscellaneous","tt0088885,tt0086203,tt0092723,tt0085033"
tt0088510,4,nm0290475,actor,\N,"Jann Tosh,Kybo Ren,Boba Fett",Star Wars: Animated Adventures - The Great Heep,Don Francks,1932,2016,"actor,writer,music_department","tt0368794,tt0113481,tt0082509,tt0082782"
tt0088510,5,nm0122645,actor,\N,Sise Fromm,Star Wars: Animated Adventures - The Great Heep,Donny Burns,\N,\N,actor,"tt0088510,tt0086203,tt0207919,tt0090847"
tt0088510,6,nm0830799,actor,\N,"Sollag,Greej,Lin-D",Star Wars: Animated Adventures - The Great Heep,John Stocker,1947,\N,"actor,sound_department,miscellaneous","tt0097235,tt0328733,tt0107438,tt0092723"
tt0088510,7,nm0456194,actor,\N,\N,Star Wars: Animated Adventures - The Great Heep,Michael Kirby,1925,2002,"actor,writer,soundtrack","tt0081192,tt0078269,tt0099677,tt0040848"
tt0088510,8,nm0049827,actor,\N,"Vlix,The Great Heep",Star Wars: Animated Adventures - The Great Heep,Long John Baldry,1941,2005,"actor,soundtrack,music_department","tt0222518,tt0067917,tt5540054,tt0088559"
tt0088510,9,nm0125579,actor,\N,\N,Star Wars: Animated Adventures - The Great Heep,George Buza,1949,\N,actor,"tt0120903,tt0115086,tt0103584,tt0098851"
tt0088510,10,nm0156838,actor,\N,\N,Star Wars: Animated Adventures - The Great Heep,Milan Cheylov,\N,\N,"director,producer,actor","tt0285331,tt0455275,tt2364582,tt0773262"
tt0088510,1,nm0000355,actor,\N,C-3PO,,Anthony Daniels,1946,\N,"actor,producer,writer","tt2488496,tt0076759,tt0080684,tt2527336"
tt0088510,2,nm0132491,actor,\N,"Admiral Screed,Lord Toda",,Graeme Campbell,1940,1992,actor,"tt0088510,tt0066630,tt0067411,tt0096425"
tt0088510,3,nm0377243,actor,\N,"Jord Dusat,Jyn Obah,Uncle Gundy",,Dan Hennessey,1941,\N,"actor,miscellaneous","tt0088885,tt0086203,tt0092723,tt0085033"
tt0088510,4,nm0290475,actor,\N,"Jann Tosh,Kybo Ren,Boba Fett",,Don Francks,1932,2016,"actor,writer,music_department","tt0368794,tt0113481,tt0082509,tt0082782"
tt0088510,5,nm0122645,actor,\N,Sise Fromm,,Donny Burns,\N,\N,actor,"tt0088510,tt0086203,tt0207919,tt0090847"
tt0088510,6,nm0830799,actor,\N,"Sollag,Greej,Lin-D",,John Stocker,1947,\N,"actor,sound_department,miscellaneous","tt0097235,tt0328733,tt0107438,tt0092723"
